,Unnamed: 0,Stock1,Stock2,Stock3,Stock4
0,2000-01-01,1.339091087,-0.163643059,-0.646442553,1.041232589
1,2000-01-02,-0.774984089,0.137034364,-0.882715915,-2.25338189
2,2000-01-03,-0.921037168,-0.482943221,-0.417099644,0.478637517
3,2000-01-04,-1.738807548,-0.072973293,0.056516577,0.015084964
4,2000-01-05,-0.905980032,1.778575527,0.381917513,0.291435556
5,2000-01-06,-0.891164753,0.741147445,0.2374822,-1.501908501
6,2000-01-07,1.111132314,0.287674003,0.183011759,1.359046222
7,2000-01-08,-1.290901082,-0.549246793,-0.825183435,0.328940016
8,2000-01-09,-1.689654535,0.818015529,1.137703717,0.334529799
9,2000-01-10,0.416579917,-1.188162164,0.753228675,-0.728224054
10,2000-01-11,0.328968117,-1.087598335,1.352826874,0.99773288
11,2000-01-12,0.263585064,-0.187620087,-1.083475015,-0.099249987
12,2000-01-13,-0.29300724,-0.813710372,2.726992974,1.869973172
13,2000-01-14,1.108677892,-0.33978166,1.923170344,0.156139776
14,2000-01-15,1.818885735,0.979137411,0.554316918,0.564793372
15,2000-01-16,1.027912814,0.419563842,0.684418988,-2.063247981
16,2000-01-17,-0.016772314,0.078901657,-0.27182568,1.955716927
17,2000-01-18,0.430984573,-0.41580265,1.373314845,-0.384551253
18,2000-01-19,-0.032470872,-0.430988282,-0.462091179,-0.111965014
19,2000-01-20,-1.350662917,0.522400414,0.675805569,1.265996266
20,2000-01-21,-3.693201135,0.113584204,-1.396540624,-0.511651831
21,2000-01-22,0.150586043,-0.062599316,-2.156833156,0.371904924
22,2000-01-23,1.250711099,-1.827653382,1.383236108,0.180290444
23,2000-01-24,-0.388994456,-2.232772619,1.463253858,-0.408696316
24,2000-01-25,0.537929145,1.245083648,-1.643805902,1.285649732
25,2000-01-26,0.876444237,0.54112988,-0.11971063,1.496264773
26,2000-01-27,-0.334721127,-0.770385866,-0.322351539,0.024414838
27,2000-01-28,-0.185825611,0.123725882,1.177777093,0.800961743
28,2000-01-29,-0.302942032,0.779980653,-0.18652896,1.200556216
29,2000-01-30,0.391695443,1.857841338,0.841039628,0.816690455
30,2000-01-31,1.53401267,0.341497154,1.654697673,-0.476432446
31,2000-02-01,-0.009653595,0.418320229,1.339987033,0.36980293
32,2000-02-02,-0.518425385,-0.478295862,-1.045842414,-1.315063077
33,2000-02-03,-0.883612289,-0.82500272,0.509919564,0.330263549
34,2000-02-04,-0.409171753,-2.213605376,0.439530652,-0.266009568
35,2000-02-05,-0.156361714,-1.059009424,-1.739454079,0.641480282
36,2000-02-06,0.975060008,-1.165890767,-0.709503437,2.641867644
37,2000-02-07,0.005306757,0.497221892,1.09960578,-0.699163857
38,2000-02-08,0.669252578,0.094332187,-0.382302138,-2.142954525
39,2000-02-09,0.086462689,-2.28948716,-0.426076349,0.193844289
40,2000-02-10,-0.120828665,0.181260786,0.978206504,1.201424155
41,2000-02-11,1.404176793,-0.585269568,-0.036195689,1.14068924
42,2000-02-12,-0.188864105,0.043074229,1.648442425,2.411106113
43,2000-02-13,0.363112455,-0.657738901,-1.2279727,-0.051868701
44,2000-02-14,-0.003067702,0.216070605,0.700053821,-1.760230189
45,2000-02-15,0.154691037,-0.706319274,-1.861527072,0.233640413
46,2000-02-16,-0.410319363,-0.101100518,-0.179478668,-0.760767519
47,2000-02-17,0.129331252,2.522329974,-0.3666588,-0.703584522
48,2000-02-18,1.041715476,-0.77691997,1.525560933,0.162204115
